Event,Desc
UNC_M_WR_CAS_RANK5.BANKG3,WR_CAS Access to Rank 5; Bank Group 3 (Banks 12-15)
UNC_M_WR_CAS_RANK6.ALLBANKS,WR_CAS Access to Rank 6; All Banks
UNC_M_WR_CAS_RANK6.BANK0,WR_CAS Access to Rank 6; Bank 0
UNC_M_WR_CAS_RANK6.BANK1,WR_CAS Access to Rank 6; Bank 1
UNC_M_WR_CAS_RANK6.BANK10,WR_CAS Access to Rank 6; Bank 10
UNC_M_WR_CAS_RANK6.BANK11,WR_CAS Access to Rank 6; Bank 11
UNC_M_WR_CAS_RANK6.BANK12,WR_CAS Access to Rank 6; Bank 12
UNC_M_WR_CAS_RANK6.BANK13,WR_CAS Access to Rank 6; Bank 13
UNC_M_WR_CAS_RANK6.BANK14,WR_CAS Access to Rank 6; Bank 14
UNC_M_WR_CAS_RANK6.BANK15,WR_CAS Access to Rank 6; Bank 15
UNC_M_WR_CAS_RANK6.BANK2,WR_CAS Access to Rank 6; Bank 2
UNC_M_WR_CAS_RANK6.BANK3,WR_CAS Access to Rank 6; Bank 3
UNC_M_WR_CAS_RANK6.BANK4,WR_CAS Access to Rank 6; Bank 4
UNC_M_WR_CAS_RANK6.BANK5,WR_CAS Access to Rank 6; Bank 5
UNC_M_WR_CAS_RANK6.BANK6,WR_CAS Access to Rank 6; Bank 6
UNC_M_WR_CAS_RANK6.BANK7,WR_CAS Access to Rank 6; Bank 7
UNC_M_WR_CAS_RANK6.BANK8,WR_CAS Access to Rank 6; Bank 8
UNC_M_WR_CAS_RANK6.BANK9,WR_CAS Access to Rank 6; Bank 9
UNC_M_WR_CAS_RANK6.BANKG0,WR_CAS Access to Rank 6; Bank Group 0 (Banks 0-3)
UNC_M_WR_CAS_RANK6.BANKG1,WR_CAS Access to Rank 6; Bank Group 1 (Banks 4-7)
UNC_M_WR_CAS_RANK6.BANKG2,WR_CAS Access to Rank 6; Bank Group 2 (Banks 8-11)
UNC_M_WR_CAS_RANK6.BANKG3,WR_CAS Access to Rank 6; Bank Group 3 (Banks 12-15)
UNC_M_WR_CAS_RANK7.ALLBANKS,WR_CAS Access to Rank 7; All Banks
UNC_M_WR_CAS_RANK7.BANK0,WR_CAS Access to Rank 7; Bank 0
UNC_M_WR_CAS_RANK7.BANK1,WR_CAS Access to Rank 7; Bank 1
UNC_M_WR_CAS_RANK7.BANK10,WR_CAS Access to Rank 7; Bank 10
UNC_M_WR_CAS_RANK7.BANK11,WR_CAS Access to Rank 7; Bank 11
UNC_M_WR_CAS_RANK7.BANK12,WR_CAS Access to Rank 7; Bank 12
UNC_M_WR_CAS_RANK7.BANK13,WR_CAS Access to Rank 7; Bank 13
UNC_M_WR_CAS_RANK7.BANK14,WR_CAS Access to Rank 7; Bank 14
UNC_M_WR_CAS_RANK7.BANK15,WR_CAS Access to Rank 7; Bank 15
UNC_M_WR_CAS_RANK7.BANK2,WR_CAS Access to Rank 7; Bank 2
UNC_M_WR_CAS_RANK7.BANK3,WR_CAS Access to Rank 7; Bank 3
UNC_M_WR_CAS_RANK7.BANK4,WR_CAS Access to Rank 7; Bank 4
UNC_M_WR_CAS_RANK7.BANK5,WR_CAS Access to Rank 7; Bank 5
UNC_M_WR_CAS_RANK7.BANK6,WR_CAS Access to Rank 7; Bank 6
UNC_M_WR_CAS_RANK7.BANK7,WR_CAS Access to Rank 7; Bank 7
UNC_M_WR_CAS_RANK7.BANK8,WR_CAS Access to Rank 7; Bank 8
UNC_M_WR_CAS_RANK7.BANK9,WR_CAS Access to Rank 7; Bank 9
UNC_M_WR_CAS_RANK7.BANKG0,WR_CAS Access to Rank 7; Bank Group 0 (Banks 0-3)
UNC_M_WR_CAS_RANK7.BANKG1,WR_CAS Access to Rank 7; Bank Group 1 (Banks 4-7)
UNC_M_WR_CAS_RANK7.BANKG2,WR_CAS Access to Rank 7; Bank Group 2 (Banks 8-11)
UNC_M_WR_CAS_RANK7.BANKG3,WR_CAS Access to Rank 7; Bank Group 3 (Banks 12-15)
UNC_M_WRONG_MM,Not getting the requested Major Mode
UNC_P_CLOCKTICKS,"The PCU runs off a fixed 800 MHz clock.  This event counts the number of pclk cycles measured while the counter was enabled.  The pclk, like the Memory Controller's dclk, counts at a constant rate making it a good measure of actual wall time."
UNC_P_CORE0_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE1_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE10_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE11_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE12_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE13_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE14_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE15_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE16_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE17_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE2_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE3_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE4_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE5_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE6_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE7_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE8_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_CORE9_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions.  There is one event per core.
UNC_P_DEMOTIONS_CORE0,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE1,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE10,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE11,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE12,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE13,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE14,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE15,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE16,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE17,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE2,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE3,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE4,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE5,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE6,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE7,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE8,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_DEMOTIONS_CORE9,Counts the number of times when a configurable cores had a C-state demotion
UNC_P_FREQ_BAND0_CYCLES,"Counts the number of cycles that the uncore was running at a frequency greater than or equal to the frequency that is configured in the filter.  One can use all four counters with this event, so it is possible to track up to 4 configurable bands.  One can use edge detect in conjunction with this event to track the number of times that we transitioned into a frequency greater than or equal to the configurable frequency. One can also use inversion to track cycles when we were less than the configured frequency."
UNC_P_FREQ_BAND1_CYCLES,"Counts the number of cycles that the uncore was running at a frequency greater than or equal to the frequency that is configured in the filter.  One can use all four counters with this event, so it is possible to track up to 4 configurable bands.  One can use edge detect in conjunction with this event to track the number of times that we transitioned into a frequency greater than or equal to the configurable frequency. One can also use inversion to track cycles when we were less than the configured frequency."
UNC_P_FREQ_BAND2_CYCLES,"Counts the number of cycles that the uncore was running at a frequency greater than or equal to the frequency that is configured in the filter.  One can use all four counters with this event, so it is possible to track up to 4 configurable bands.  One can use edge detect in conjunction with this event to track the number of times that we transitioned into a frequency greater than or equal to the configurable frequency. One can also use inversion to track cycles when we were less than the configured frequency."
UNC_P_FREQ_BAND3_CYCLES,"Counts the number of cycles that the uncore was running at a frequency greater than or equal to the frequency that is configured in the filter.  One can use all four counters with this event, so it is possible to track up to 4 configurable bands.  One can use edge detect in conjunction with this event to track the number of times that we transitioned into a frequency greater than or equal to the configurable frequency. One can also use inversion to track cycles when we were less than the configured frequency."
UNC_P_FREQ_MAX_LIMIT_THERMAL_CYCLES,"Counts the number of cycles when thermal conditions are the upper limit on frequency.  This is related to the THERMAL_THROTTLE CYCLES_ABOVE_TEMP event, which always counts cycles when we are above the thermal temperature.  This event (STRONGEST_UPPER_LIMIT) is sampled at the output of the algorithm that determines the actual frequency, while THERMAL_THROTTLE looks at the input."
UNC_P_FREQ_MAX_OS_CYCLES,Counts the number of cycles when the OS is the upper limit on frequency.
UNC_P_FREQ_MAX_POWER_CYCLES,Counts the number of cycles when power is the upper limit on frequency.
UNC_P_FREQ_MIN_IO_P_CYCLES,Counts the number of cycles when IO P Limit is preventing us from dropping the frequency lower.  This algorithm monitors the needs to the IO subsystem on both local and remote sockets and will maintain a frequency high enough to maintain good IO BW.  This is necessary for when all the IA cores on a socket are idle but a user still would like to maintain high IO Bandwidth.
UNC_P_FREQ_TRANS_CYCLES,Counts the number of cycles when the system is changing frequency.  This can not be filtered by thread ID.  One can also use it with the occupancy counter that monitors number of threads in C0 to estimate the performance impact that frequency transitions had on the system.
UNC_P_MEMORY_PHASE_SHEDDING_CYCLES,Counts the number of cycles that the PCU has triggered memory phase shedding.  This is a mode that can be run in the iMC physicals that saves power at the expense of additional latency.
UNC_P_PKG_RESIDENCY_C0_CYCLES,Counts the number of cycles when the package was in C0.  This event can be used in conjunction with edge detect to count C0 entrances (or exits using invert).  Residency events do not include transition times.
UNC_P_PKG_RESIDENCY_C1E_CYCLES,Counts the number of cycles when the package was in C1E.  This event can be used in conjunction with edge detect to count C1E entrances (or exits using invert).  Residency events do not include transition times.
UNC_P_PKG_RESIDENCY_C2E_CYCLES,Counts the number of cycles when the package was in C2E.  This event can be used in conjunction with edge detect to count C2E entrances (or exits using invert).  Residency events do not include transition times.
UNC_P_PKG_RESIDENCY_C3_CYCLES,Counts the number of cycles when the package was in C3.  This event can be used in conjunction with edge detect to count C3 entrances (or exits using invert).  Residency events do not include transition times.
UNC_P_PKG_RESIDENCY_C6_CYCLES,Counts the number of cycles when the package was in C6.  This event can be used in conjunction with edge detect to count C6 entrances (or exits using invert).  Residency events do not include transition times.
UNC_P_PKG_RESIDENCY_C7_CYCLES,Counts the number of cycles when the package was in C7.  This event can be used in conjunction with edge detect to count C7 entrances (or exits using invert).  Residency events do not include transition times.
UNC_P_POWER_STATE_OCCUPANCY.CORES_C0,"This is an occupancy event that tracks the number of cores that are in the chosen C-State.  It can be used by itself to get the average number of cores in that C-state with threshholding to generate histograms, or with other PCU events and occupancy triggering to capture other details."
UNC_P_POWER_STATE_OCCUPANCY.CORES_C3,"This is an occupancy event that tracks the number of cores that are in the chosen C-State.  It can be used by itself to get the average number of cores in that C-state with threshholding to generate histograms, or with other PCU events and occupancy triggering to capture other details."
UNC_P_POWER_STATE_OCCUPANCY.CORES_C6,"This is an occupancy event that tracks the number of cores that are in the chosen C-State.  It can be used by itself to get the average number of cores in that C-state with threshholding to generate histograms, or with other PCU events and occupancy triggering to capture other details."
UNC_P_PROCHOT_EXTERNAL_CYCLES,Counts the number of cycles that we are in external PROCHOT mode.  This mode is triggered when a sensor off the die determines that something off-die (like DRAM) is too hot and must throttle to avoid damaging the chip.
UNC_P_PROCHOT_INTERNAL_CYCLES,Counts the number of cycles that we are in Interal PROCHOT mode.  This mode is triggered when a sensor on the die determines that we are too hot and must throttle to avoid damaging the chip.
UNC_P_TOTAL_TRANSITION_CYCLES,Number of cycles spent performing core C state transitions across all cores.
UNC_P_UFS_TRANSITIONS_NO_CHANGE,Ring GV with same final and initial frequency
UNC_P_UFS_TRANSITIONS_RING_GV,Ring GV with same final and initial frequency
UNC_P_VR_HOT_CYCLES,VR Hot
UNC_Q_CLOCKTICKS,"Counts the number of clocks in the QPI LL.  This clock runs at 1/4th the ""GT/s"" speed of the QPI link.  For example, a 4GT/s link will have qfclk or 1GHz.  HSX does not support dynamic link speeds, so this frequency is fixed."
UNC_Q_CTO_COUNT,"Counts the number of CTO (cluster trigger outs) events that were asserted across the two slots.  If both slots trigger in a given cycle, the event will increment by 2.  You can use edge detect to count the number of cases when both events triggered."
UNC_Q_DIRECT2CORE.FAILURE_CREDITS,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn failed because there were not enough Egress credits.  Had there been enough credits, the spawn would have worked as the RBT bit was set and the RBT tag matched."
UNC_Q_DIRECT2CORE.FAILURE_CREDITS_MISS,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn failed because the RBT tag did not match and there weren't enough Egress credits.   The valid bit was set."
UNC_Q_DIRECT2CORE.FAILURE_CREDITS_RBT,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn failed because there were not enough Egress credits AND the RBT bit was not set, but the RBT tag matched."
UNC_Q_DIRECT2CORE.FAILURE_CREDITS_RBT_MISS,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn failed because the RBT tag did not match, the valid bit was not set and there weren't enough Egress credits."
UNC_Q_DIRECT2CORE.FAILURE_MISS,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn failed because the RBT tag did not match although the valid bit was set and there were enough Egress credits."
UNC_Q_DIRECT2CORE.FAILURE_RBT_HIT,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn failed because the route-back table (RBT) specified that the transaction should not trigger a direct2core tranaction.  This is common for IO transactions.  There were enough Egress credits and the RBT tag matched but the valid bit was not set."
UNC_Q_DIRECT2CORE.FAILURE_RBT_MISS,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn failed because the RBT tag did not match and the valid bit was not set although there were enough Egress credits."
UNC_Q_DIRECT2CORE.SUCCESS_RBT_HIT,"Counts the number of DRS packets that we attempted to do direct2core on.  There are 4 mutually exlusive filters.  Filter [0] can be used to get successful spawns, while [1:3] provide the different failure cases.  Note that this does not count packets that are not candidates for Direct2Core.  The only candidates for Direct2Core are DRS packets destined for Cbos.; The spawn was successful.  There were sufficient credits, the RBT valid bit was set and there was an RBT tag match.  The message was marked to spawn direct2core."
UNC_Q_L1_POWER_CYCLES,"Number of QPI qfclk cycles spent in L1 power mode.  L1 is a mode that totally shuts down a QPI link.  Use edge detect to count the number of instances when the QPI link entered L1.  Link power states are per link and per direction, so for example the Tx direction could be in one state while Rx was in another. Because L1 totally shuts down the link, it takes a good amount of time to exit this mode."
UNC_Q_RxL_BYPASSED,"Counts the number of times that an incoming flit was able to bypass the flit buffer and pass directly across the BGF and into the Egress.  This is a latency optimization, and should generally be the common case.  If this value is less than the number of flits transfered, it implies that there was queueing getting onto the ring, and thus the transactions saw higher latency."
UNC_Q_RxL_CRC_ERRORS.LINK_INIT,"Number of CRC errors detected in the QPI Agent.  Each QPI flit incorporates 8 bits of CRC for error detection.  This counts the number of flits where the CRC was able to detect an error.  After an error has been detected, the QPI agent will send a request to the transmitting socket to resend the flit (as well as any flits that came after it).; CRC errors detected during link initialization."
UNC_Q_RxL_CRC_ERRORS.NORMAL_OP,"Number of CRC errors detected in the QPI Agent.  Each QPI flit incorporates 8 bits of CRC for error detection.  This counts the number of flits where the CRC was able to detect an error.  After an error has been detected, the QPI agent will send a request to the transmitting socket to resend the flit (as well as any flits that came after it).; CRC errors detected during normal operation."
UNC_Q_RxL_CREDITS_CONSUMED_VN0.DRS,Counts the number of times that an RxQ VN0 credit was consumed (i.e. message uses a VN0 credit for the Rx Buffer).  This includes packets that went through the RxQ and those that were bypasssed.; VN0 credit for the DRS message class.
